paracetamol,analgesic antipyretic,tablet,500 mg,3-4 times daily
acetaminophen,analgesic antipyretic,tablet,500 mg,3-4 times daily
aspirin,nsaid antiplatelet,tablet,75-325 mg,once daily
ibuprofen,nsaid,tablet,400 mg,3 times daily
diclofenac,nsaid,tablet,50 mg,2-3 times daily
aceclofenac,nsaid,tablet,100 mg,2 times daily
ketorolac,nsaid,tablet/injection,10 mg,4 times daily
naproxen,nsaid,tablet,250-500 mg,2 times daily
indomethacin,nsaid,tablet,25 mg,2-3 times daily
celecoxib,cox2 inhibitor nsaid,capsule,200 mg,once daily
etoricoxib,cox2 inhibitor nsaid,tablet,60-90 mg,once daily
tramadol,opioid analgesic,tablet/capsule,50 mg,2-3 times daily
codeine,opioid analgesic,tablet,30 mg,2-3 times daily
morphine,opioid analgesic,injection/tablet,10 mg,as prescribed
fentanyl,opioid analgesic,injection/patch,50 mcg,as prescribed
buprenorphine,opioid analgesic,tablet/injection,0.2 mg,as prescribed
amoxicillin,penicillin antibiotic,capsule,500 mg,3 times daily
amoxicillin clavulanate,penicillin antibiotic,capsule/tablet,625 mg,2-3 times daily
ampicillin,penicillin antibiotic,capsule/injection,500 mg,4 times daily
ampicillin sulbactam,penicillin antibiotic,injection,1.5 g,3-4 times daily
azithromycin,macrolide antibiotic,tablet,500 mg,once daily
clarithromycin,macrolide antibiotic,tablet,500 mg,2 times daily
erythromycin,macrolide antibiotic,tablet,500 mg,4 times daily
roxithromycin,macrolide antibiotic,tablet,150 mg,2 times daily
ceftriaxone,cephalosporin antibiotic,injection,1 g,once daily
cefotaxime,cephalosporin antibiotic,injection,1 g,2-3 times daily
cefixime,cephalosporin antibiotic,tablet,200 mg,2 times daily
cefuroxime,cephalosporin antibiotic,tablet/injection,500 mg,2 times daily
cefepime,cephalosporin antibiotic,injection,1 g,2 times daily
cephalexin,cephalosporin antibiotic,capsule,500 mg,4 times daily
cefadroxil,cephalosporin antibiotic,tablet,500 mg,2 times daily
cefoperazone,cephalosporin antibiotic,injection,1 g,2 times daily
cefoperazone sulbactam,cephalosporin antibiotic,injection,1.5 g,2 times daily
piperacillin,penicillin antibiotic,injection,4 g,3-4 times daily
piperacillin tazobactam,penicillin antibiotic,injection,4.5 g,3-4 times daily
imipenem,carbapenem antibiotic,injection,500 mg,4 times daily
meropenem,carbapenem antibiotic,injection,1 g,3 times daily
ertapenem,carbapenem antibiotic,injection,1 g,once daily
ciprofloxacin,fluoroquinolone antibiotic,tablet,500 mg,2 times daily
levofloxacin,fluoroquinolone antibiotic,tablet,500 mg,once daily
ofloxacin,fluoroquinolone antibiotic,tablet,200 mg,2 times daily
moxifloxacin,fluoroquinolone antibiotic,tablet,400 mg,once daily
norfloxacin,fluoroquinolone antibiotic,tablet,400 mg,2 times daily
doxycycline,tetracycline antibiotic,capsule,100 mg,2 times daily
tetracycline,tetracycline antibiotic,capsule,250 mg,4 times daily
minocycline,tetracycline antibiotic,capsule,100 mg,2 times daily
clindamycin,lincosamide antibiotic,capsule,300 mg,3-4 times daily
linezolid,oxazolidinone antibiotic,tablet/injection,600 mg,2 times daily
vancomycin,glycopeptide antibiotic,injection,1 g,2 times daily
teicoplanin,glycopeptide antibiotic,injection,400 mg,once daily
metronidazole,nitroimidazole antibiotic,tablet,400 mg,3 times daily
tinidazole,nitroimidazole antibiotic,tablet,500 mg,2 times daily
ornidazole,nitroimidazole antibiotic,tablet,500 mg,2 times daily
rifampicin,antitubercular antibiotic,capsule,600 mg,once daily
isoniazid,antitubercular drug,tablet,300 mg,once daily
ethambutol,antitubercular drug,tablet,800 mg,once daily
pyrazinamide,antitubercular drug,tablet,1500 mg,once daily
pantoprazole,proton pump inhibitor,tablet,40 mg,once daily
omeprazole,proton pump inhibitor,capsule,20 mg,once daily
rabeprazole,proton pump inhibitor,tablet,20 mg,once daily
lansoprazole,proton pump inhibitor,capsule,30 mg,once daily
esomeprazole,proton pump inhibitor,tablet,40 mg,once daily
dexlansoprazole,proton pump inhibitor,capsule,30 mg,once daily
ranitidine,h2 blocker,tablet,150 mg,2 times daily
famotidine,h2 blocker,tablet,20 mg,2 times daily
cimetidine,h2 blocker,tablet,400 mg,2 times daily
domperidone,prokinetic antiemetic,tablet,10 mg,3 times daily
ondansetron,antiemetic 5ht3 antagonist,tablet/injection,4 mg,2 times daily
granisetron,antiemetic 5ht3 antagonist,tablet/injection,1 mg,2 times daily
metoclopramide,prokinetic antiemetic,tablet/injection,10 mg,3 times daily
itopride,prokinetic,tablet,50 mg,3 times daily
dicyclomine,antispasmodic,tablet,20 mg,3 times daily
hyoscine butylbromide,antispasmodic,tablet/injection,10 mg,3 times daily
metformin,biguanide antidiabetic,tablet,500 mg,2 times daily
glimepiride,sulfonylurea antidiabetic,tablet,1 mg,once daily
gliclazide,sulfonylurea antidiabetic,tablet,80 mg,2 times daily
glibenclamide,sulfonylurea antidiabetic,tablet,5 mg,once daily
pioglitazone,thiazolidinedione antidiabetic,tablet,15 mg,once daily
sitagliptin,dpp4 inhibitor antidiabetic,tablet,100 mg,once daily
vildagliptin,dpp4 inhibitor antidiabetic,tablet,50 mg,2 times daily
linagliptin,dpp4 inhibitor antidiabetic,tablet,5 mg,once daily
teneligliptin,dpp4 inhibitor antidiabetic,tablet,20 mg,once daily
saxagliptin,dpp4 inhibitor antidiabetic,tablet,5 mg,once daily
dapagliflozin,sglt2 inhibitor antidiabetic,tablet,10 mg,once daily
empagliflozin,sglt2 inhibitor antidiabetic,tablet,10 mg,once daily
canagliflozin,sglt2 inhibitor antidiabetic,tablet,100 mg,once daily
insulin,antidiabetic hormone,injection,variable,as prescribed
insulin glargine,long acting insulin,injection,10 units,once daily
insulin lispro,rapid acting insulin,injection,variable,before meals
insulin aspart,rapid acting insulin,injection,variable,before meals
insulin detemir,long acting insulin,injection,variable,once daily
amlodipine,calcium channel blocker,tablet,5 mg,once daily
nifedipine,calcium channel blocker,tablet,10 mg,2 times daily
diltiazem,calcium channel blocker,tablet,60 mg,3 times daily
verapamil,calcium channel blocker,tablet,80 mg,3 times daily
atenolol,beta blocker,tablet,50 mg,once daily
metoprolol,beta blocker,tablet,50 mg,2 times daily
bisoprolol,beta blocker,tablet,5 mg,once daily
nebivolol,beta blocker,tablet,5 mg,once daily
propranolol,beta blocker,tablet,40 mg,2 times daily
carvedilol,beta blocker,tablet,12.5 mg,2 times daily
losartan,arb antihypertensive,tablet,50 mg,once daily
telmisartan,arb antihypertensive,tablet,40 mg,once daily
valsartan,arb antihypertensive,tablet,80 mg,once daily
olmesartan,arb antihypertensive,tablet,20 mg,once daily
irbesartan,arb antihypertensive,tablet,150 mg,once daily
enalapril,ace inhibitor,tablet,5 mg,2 times daily
ramipril,ace inhibitor,tablet,5 mg,once daily
lisinopril,ace inhibitor,tablet,10 mg,once daily
perindopril,ace inhibitor,tablet,4 mg,once daily
hydrochlorothiazide,thiazide diuretic,tablet,25 mg,once daily
chlorthalidone,thiazide diuretic,tablet,25 mg,once daily
indapamide,thiazide like diuretic,tablet,1.5 mg,once daily
furosemide,loop diuretic,tablet/injection,40 mg,once daily
torsemide,loop diuretic,tablet,10 mg,once daily
spironolactone,potassium sparing diuretic,tablet,25 mg,once daily
eplerenone,potassium sparing diuretic,tablet,25 mg,once daily
atorvastatin,statin lipid lowering,tablet,10 mg,once daily
rosuvastatin,statin lipid lowering,tablet,10 mg,once daily
simvastatin,statin lipid lowering,tablet,20 mg,once daily
pravastatin,statin lipid lowering,tablet,20 mg,once daily
fluvastatin,statin lipid lowering,tablet,40 mg,once daily
fenofibrate,fibrate lipid lowering,tablet,160 mg,once daily
gemfibrozil,fibrate lipid lowering,tablet,600 mg,2 times daily
clopidogrel,antiplatelet,tablet,75 mg,once daily
prasugrel,antiplatelet,tablet,10 mg,once daily
ticagrelor,antiplatelet,tablet,90 mg,2 times daily
warfarin,vitamin k antagonist anticoagulant,tablet,5 mg,once daily
heparin,anticoagulant,injection,5000 units,2-3 times daily
enoxaparin,low molecular weight heparin,injection,40 mg,once daily
dabigatran,direct thrombin inhibitor,tablet,150 mg,2 times daily
rivaroxaban,factor xa inhibitor,tablet,20 mg,once daily
apixaban,factor xa inhibitor,tablet,5 mg,2 times daily
salbutamol,short acting bronchodilator,inhaler,100 mcg,as needed
terbutaline,bronchodilator,tablet/inhaler,5 mg,3 times daily
formoterol,long acting bronchodilator,inhaler,12 mcg,2 times daily
salmeterol,long acting bronchodilator,inhaler,50 mcg,2 times daily
budesonide,inhaled corticosteroid,inhaler,200 mcg,2 times daily
beclomethasone,inhaled corticosteroid,inhaler,200 mcg,2 times daily
fluticasone,inhaled corticosteroid,inhaler,100 mcg,2 times daily
montelukast,leukotriene antagonist,tablet,10 mg,once daily
zafirlukast,leukotriene antagonist,tablet,20 mg,2 times daily
theophylline,xanthine bronchodilator,tablet,200 mg,2 times daily
aminophylline,xanthine bronchodilator,injection/tablet,250 mg,2 times daily
cetirizine,antihistamine,tablet,10 mg,once daily
levocetirizine,antihistamine,tablet,5 mg,once daily
loratadine,antihistamine,tablet,10 mg,once daily
desloratadine,antihistamine,tablet,5 mg,once daily
fexofenadine,antihistamine,tablet,120 mg,once daily
