drug,class
paracetamol,Analgesic (Antipyretic)
ibuprofen,NSAID
amoxicillin,Penicillin Antibiotic
metformin,Biguanide
aspirin,NSAID (Salicylate)
naproxen,NSAID
celecoxib,COX-2 Inhibitor
diclofenac,NSAID
tramadol,Opioid Analgesic
gabapentin,Anticonvulsant (Gabapentinoid)
pregabalin,Anticonvulsant (Gabapentinoid)
atorvastatin,Statin (HMG-CoA Reductase Inhibitor)
rosuvastatin,Statin (HMG-CoA Reductase Inhibitor)
simvastatin,Statin (HMG-CoA Reductase Inhibitor)
amlodipine,Calcium Channel Blocker (Dihydropyridine)
lisinopril,ACE Inhibitor
losartan,Angiotensin II Receptor Blocker (ARB)
valsartan,Angiotensin II Receptor Blocker (ARB)
metoprolol,Beta Blocker (Cardioselective)
atenolol,Beta Blocker (Cardioselective)
carvedilol,Beta Blocker (Non-selective)
furosemide,Loop Diuretic
spironolactone,Potassium-Sparing Diuretic
hydrochlorothiazide,Thiazide Diuretic
digoxin,Cardiac Glycoside
warfarin,Anticoagulant (Vitamin K Antagonist)
clopidogrel,Antiplatelet (P2Y12 Inhibitor)
rivaroxaban,Anticoagulant (Direct Factor Xa Inhibitor)
apixaban,Anticoagulant (Direct Factor Xa Inhibitor)
levothyroxine,Thyroid Hormone (T4)
glimepiride,Sulfonylurea
glipizide,Sulfonylurea
sitagliptin,DPP-4 Inhibitor
pioglitazone,Thiazolidinedione (TZD)
empagliflozin,SGLT2 Inhibitor
dapagliflozin,SGLT2 Inhibitor
omeprazole,Proton Pump Inhibitor (PPI)
pantoprazole,Proton Pump Inhibitor (PPI)
famotidine,H2 Receptor Antagonist
ranitidine,H2 Receptor Antagonist
metoclopramide,Dopamine Antagonist (Prokinetic)
ondansetron,5-HT3 Receptor Antagonist (Antiemetic)
prednisolone,Corticosteroid
dexamethasone,Corticosteroid
montelukast,Leukotriene Receptor Antagonist
salbutamol,Beta-2 Agonist (SABA)
theophylline,Xanthine Derivative
azithromycin,Macrolide Antibiotic
ciprofloxacin,Fluoroquinolone Antibiotic
levofloxacin,Fluoroquinolone Antibiotic
clarithromycin,Macrolide Antibiotic
doxycycline,Tetracycline Antibiotic
cephalexin,First-Generation Cephalosporin
cefdinir,Third-Generation Cephalosporin
metronidazole,Nitroimidazole Antibiotic
